sleep_hours,study_hours,stress_level,feedback
6,7,10,"Burning out, need help"
6,6,10,"Exhausted, high stress"
8,3,4,Managing okay
7,3,5,Could use more sleep
10,5,4,Managing okay
9,1,1,Feeling energized
6,10,10,"Exhausted, high stress"
4,10,10,"Exhausted, high stress"
9,8,9,Completely overwhelmed
6,8,10,Completely overwhelmed
8,6,7,"Managing okay, but tired"
9,2,4,Managing okay
7,5,7,Trying to stay on track
9,9,9,Struggling to keep up
10,10,10,Struggling to keep up
10,4,4,Stress-free day
10,4,4,Feeling energized
5,6,10,Completely overwhelmed
8,1,3,Productive and calm
4,1,8,"Burning out, need help"
9,7,8,"Too much pressure, can't sleep"
6,8,10,"Exhausted, high stress"
9,10,10,"Too much pressure, can't sleep"
6,1,5,I feel overwhelmed with assignments
10,5,4,Stress-free day
4,5,10,"Too much pressure, can't sleep"
6,2,7,Could use more sleep
6,3,6,I feel overwhelmed with assignments
10,5,4,Productive and calm
10,5,6,Could use more sleep
5,4,8,Completely overwhelmed
10,10,10,Completely overwhelmed
7,5,9,"Burning out, need help"
5,7,10,Completely overwhelmed
9,7,9,"Too much pressure, can't sleep"
4,3,9,"Too much pressure, can't sleep"
7,10,10,Struggling to keep up
8,2,3,Productive and calm
10,1,1,Feeling energized
9,1,1,Feeling energized
10,2,1,Stress-free day
9,5,7,A bit busy
7,3,7,"Managing okay, but tired"
5,9,10,"Exhausted, high stress"
9,9,10,Completely overwhelmed
10,4,3,Productive and calm
8,7,10,"Burning out, need help"
10,4,4,Productive and calm
8,9,10,"Burning out, need help"
7,8,10,"Burning out, need help"
6,5,8,Struggling to keep up
6,1,4,Managing okay
